NAME,LAT,LON,PROB_PCT,RUN_DATE,RUN_HOUR_Z,HORIZON_H,THRESH_IN
Blairsville,34.8759,-83.9853,78,2026-01-20,12,144,0.5
Ellijay,34.6948,-84.4821,64,2026-01-20,12,144,0.5
Rome,34.2562,-85.1687,68,2026-01-20,12,144,0.5
Canton,34.2368,-84.4908,82,2026-01-20,12,144,0.5
Gainesville,34.2927,-83.8241,84,2026-01-20,12,144,0.5
Atlanta,33.7501,-84.3885,70,2026-01-20,12,144,0.5
Carrollton,33.5801,-85.0766,52,2026-01-20,12,144,0.5
Covington,33.5968,-83.8602,68,2026-01-20,12,144,0.5
Griffin,33.2468,-84.2641,48,2026-01-20,12,144,0.5
Eatonton,33.3268,-83.3885,44,2026-01-20,12,144,0.5
Lagrange,33.0362,-85.0322,32,2026-01-20,12,144,0.5
Thomaston,32.8882,-84.3266,40,2026-01-20,12,144,0.5
Hamilton,34.1423,-87.9886,70,2026-01-20,12,144,0.5
Haleyville,34.2265,-87.6214,72,2026-01-20,12,144,0.5
Cullman,34.1748,-86.8436,60,2026-01-20,12,144,0.5
Oneonta,33.9487,-86.4728,54,2026-01-20,12,144,0.5
Gadsden,34.0143,-86.0066,46,2026-01-20,12,144,0.5
Centre,34.1526,-85.6786,68,2026-01-20,12,144,0.5
Anniston,33.6598,-85.8316,52,2026-01-20,12,144,0.5
Fayette,33.6846,-87.8286,52,2026-01-20,12,144,0.5
Jasper,33.8318,-87.2775,38,2026-01-20,12,144,0.5
Birmingham,33.5186,-86.8104,32,2026-01-20,12,144,0.5
Pell City,33.5868,-86.2861,22,2026-01-20,12,144,0.5
Talladega,33.4359,-86.1058,30,2026-01-20,12,144,0.5
Ashland,33.2737,-85.835,36,2026-01-20,12,144,0.5
Aliceville,33.129,-88.1514,38,2026-01-20,12,144,0.5
Tuscaloosa,33.2098,-87.5692,22,2026-01-20,12,144,0.5
Eutaw,32.8404,-87.8875,18,2026-01-20,12,144,0.5
Greensboro,32.7043,-87.5956,4,2026-01-20,12,144,0.5
Demopolis,32.5174,-87.837,2,2026-01-20,12,144,0.5
Marion,32.6324,-87.3192,2,2026-01-20,12,144,0.5
Centreville,32.944,-87.1344,14,2026-01-20,12,144,0.5
Hoover,33.4054,-86.8114,32,2026-01-20,12,144,0.5
Clanton,32.8387,-86.6294,4,2026-01-20,12,144,0.5
Rockford,32.8896,-86.2197,16,2026-01-20,12,144,0.5
Alexander City,32.944,-85.9539,18,2026-01-20,12,144,0.5
