NAME,LAT,LON,PROB_PCT,RUN_DATE,RUN_HOUR_Z,HORIZON_H,THRESH_IN
Blairsville,34.8759,-83.9853,82,2026-01-23,12,144,0.25
Ellijay,34.6948,-84.4821,48,2026-01-23,12,144,0.25
Rome,34.2562,-85.1687,50,2026-01-23,12,144,0.25
Canton,34.2368,-84.4908,98,2026-01-23,12,144,0.25
Gainesville,34.2927,-83.8241,100,2026-01-23,12,144,0.25
Atlanta,33.7501,-84.3885,76,2026-01-23,12,144,0.25
Carrollton,33.5801,-85.0766,8,2026-01-23,12,144,0.25
Covington,33.5968,-83.8602,56,2026-01-23,12,144,0.25
Griffin,33.2468,-84.2641,6,2026-01-23,12,144,0.25
Eatonton,33.3268,-83.3885,4,2026-01-23,12,144,0.25
Lagrange,33.0362,-85.0322,0,2026-01-23,12,144,0.25
Thomaston,32.8882,-84.3266,4,2026-01-23,12,144,0.25
Athens,33.9597,-83.3764,98,2026-01-23,12,144,0.25
Hamilton,34.1423,-87.9886,42,2026-01-23,12,144,0.25
Haleyville,34.2265,-87.6214,14,2026-01-23,12,144,0.25
Cullman,34.1748,-86.8436,2,2026-01-23,12,144,0.25
Oneonta,33.9487,-86.4728,0,2026-01-23,12,144,0.25
Gadsden,34.0143,-86.0066,0,2026-01-23,12,144,0.25
Centre,34.1526,-85.6786,16,2026-01-23,12,144,0.25
Anniston,33.6598,-85.8316,0,2026-01-23,12,144,0.25
Fayette,33.6846,-87.8286,2,2026-01-23,12,144,0.25
Jasper,33.8318,-87.2775,0,2026-01-23,12,144,0.25
Birmingham,33.5186,-86.8104,0,2026-01-23,12,144,0.25
Pell City,33.5868,-86.2861,0,2026-01-23,12,144,0.25
Talladega,33.4359,-86.1058,0,2026-01-23,12,144,0.25
Ashland,33.2737,-85.835,0,2026-01-23,12,144,0.25
Aliceville,33.129,-88.1514,2,2026-01-23,12,144,0.25
Tuscaloosa,33.2098,-87.5692,0,2026-01-23,12,144,0.25
Eutaw,32.8404,-87.8875,0,2026-01-23,12,144,0.25
Greensboro,32.7043,-87.5956,0,2026-01-23,12,144,0.25
Demopolis,32.5174,-87.837,0,2026-01-23,12,144,0.25
Marion,32.6324,-87.3192,0,2026-01-23,12,144,0.25
Centreville,32.944,-87.1344,0,2026-01-23,12,144,0.25
Hoover,33.4054,-86.8114,0,2026-01-23,12,144,0.25
Clanton,32.8387,-86.6294,0,2026-01-23,12,144,0.25
Rockford,32.8896,-86.2197,0,2026-01-23,12,144,0.25
Alexander City,32.944,-85.9539,0,2026-01-23,12,144,0.25
